Provider name,Learning aim reference,Learning aim title,Funding model
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60ASF9857,Essential Digital Skills (Entry 3),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z00601ASF,"Non regulated Tailored Learning, Essential Skills, Entry Level, Essential Digital Skills",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60346474,Functional Skills Qualification in English,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60089143,Award in Progression,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60349141,Functional Skills Qualification in English (Entry  2),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060ASF9,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, Essential Digital Skills",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60346498,Functional Skills Qualification in Mathematics,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,6034913X,Functional Skills Qualification in English (Entry 1),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60346462,Functional Skills Qualification in English,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60ASF0242,Certificate in Vocational Studies,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,6008912X,Certificate in Progression (Entry 3),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141979,Award in ESOL Skills for Life (Speaking and Listening),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141955,Award in ESOL Skills for Life (Reading),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141943,Award in ESOL Skills for Life (Speaking and Listening) (Entry 3),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141967,Award in ESOL Skills for Life (Writing),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141992,Award in ESOL Skills for Life (Writing),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141906,Award in ESOL Skills for Life (Writing) (Entry 2),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60055157,Award in Safeguarding in a Learning Environment,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60346486,Functional Skills Qualification in Mathematics,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060091,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, ESOL",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141888,Award in ESOL Skills for Life (Speaking and Listening) (Entry 1),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141931,Award in ESOL Skills for Life (Writing) (Entry 3),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141918,Award in ESOL Skills for Life (Speaking and Listening) (Entry 2),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,6014189X,Award in ESOL Skills for Life (Reading) (Entry 2),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60349177,Functional Skills Qualification in Mathematics (Entry 3),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,6014192X,Award in ESOL Skills for Life (Reading) (Entry 3),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060ASF8,"Non regulated Tailored Learning, Essential Skills, Level 2, Maths",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60324764,Certificate in Supporting Teaching and Learning,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141864,Award in ESOL Skills for Life (Reading) (Entry 1),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60342286,Award in Employability Skills,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060ASF6,"Non regulated Tailored Learning, Essential Skills, Entry Level, Maths (Entry 3)",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60ASF9869,Essential Digital Skills,ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060ASF5,"Non regulated Tailored Learning, Essential Skills, Entry Level, Maths (Entry 2)",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60349165,Functional Skills Qualification in Mathematics (Entry 2),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60012122,"Certificate in Introduction to Health, Social Care and Children's and Young People's Settings",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60141980,Award in ESOL Skills for Life (Reading),ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,Z0060053,"Non-regulated Tailored Learning, Level 1, Health and Social Care",ASF
BARNSLEY METROPOLITAN BOROUGH COUNCIL,60134045,Certificate in Understanding the Safe Handling of Medication in Health and Social Care,ASF
CHESTERFIELD COLLEGE,60137812,Certificate in Team Leading,ASF
CHESTERFIELD COLLEGE,6ASF08187,Award in Bookkeeping,ASF
CHESTERFIELD COLLEGE,60054980,Diploma in Electrical Installations (Buildings and Structures),ASF
CHESTERFIELD COLLEGE,60ASF7575,Certificate in Fabrication and Welding Techniques and Skills,ASF
CHESTERFIELD COLLEGE,6ASF00674,Certificate in Light Vehicle Maintenance and Repair Principles,ASF
CHESTERFIELD COLLEGE,40012876,Access to HE Diploma (Health Science Professions),ASF
CHESTERFIELD COLLEGE,500886ASF,NVQ Diploma in Beauty Therapy Massage,ASF
CHESTERFIELD COLLEGE,40014198,Access to HE Diploma (Nursing),ASF
CHESTERFIELD COLLEGE,60346474,Functional Skills Qualification in English,ASF
CHESTERFIELD COLLEGE,60094321,Diploma in Plumbing Foundation,ASF
CHESTERFIELD COLLEGE,50ASF6058,"NVQ Diploma in Installing Electrotechnical Systems and Equipment (Buildings, Structures and the Environment)",ASF
CHESTERFIELD COLLEGE,60313961,Award in Food Allergen Awareness and Control in Catering (RQF),ASF
CHESTERFIELD COLLEGE,50094397,NVQ Diploma in Professional Cookery,ASF
CHESTERFIELD COLLEGE,6ASF00652,Diploma in Light Vehicle Maintenance and Repair Principles,ASF
CHESTERFIELD COLLEGE,60155036,GCSE (9-1) in Mathematics,ASF
CHESTERFIELD COLLEGE,60141967,Award in ESOL Skills for Life (Writing),ASF
CHESTERFIELD COLLEGE,60349153,Functional Skills Qualification in English (Entry 3),ASF
CHESTERFIELD COLLEGE,60346462,Functional Skills Qualification in English,ASF
CHESTERFIELD COLLEGE,Z0060095,"Non regulated Tailored Learning, Essential Skills, Level 1, ESOL",ASF
CHESTERFIELD COLLEGE,60141906,Award in ESOL Skills for Life (Writing) (Entry 2),ASF
CHESTERFIELD COLLEGE,60346498,Functional Skills Qualification in Mathematics,ASF
CHESTERFIELD COLLEGE,60309325,GCSE (9-1) in Psychology,ASF
CHESTERFIELD COLLEGE,40014654,Access to HE Diploma (Criminology),ASF
CHESTERFIELD COLLEGE,60164657,Diploma in Music Performance and Production,ASF
CHESTERFIELD COLLEGE,60307985,GCSE (9-1) in Sociology,ASF
CHESTERFIELD COLLEGE,60148378,GCE AS Level in Psychology,ASF
CHESTERFIELD COLLEGE,60372230,GCSE (9-1) English Language 2.0,ASF
CHESTERFIELD COLLEGE,40009440,Access to HE Diploma (Nursing and Midwifery),ASF
CHESTERFIELD COLLEGE,60080528,Diploma in Bricklaying,ASF
CHESTERFIELD COLLEGE,60346486,Functional Skills Qualification in Mathematics,ASF
CHESTERFIELD COLLEGE,60363ASF1,Certificate in Accounting,ASF
CHESTERFIELD COLLEGE,60349177,Functional Skills Qualification in Mathematics (Entry 3),ASF
CHESTERFIELD COLLEGE,60163306,Certificate in Understanding Autism,ASF
CHESTERFIELD COLLEGE,60339858,Certificate in Counselling Skills,ASF
CHESTERFIELD COLLEGE,50ASF2539,Award in Mental Health Awareness,ASF
CHESTERFIELD COLLEGE,60328137,Certificate in Understanding Children and Young People's Mental Health,ASF
CHESTERFIELD COLLEGE,60349189,Functional Skills Qualification in Mathematics (Entry 1),ASF
CHESTERFIELD COLLEGE,60337230,Diploma for the Early Years Practitioner,ASF
CHESTERFIELD COLLEGE,60094709,NVQ Certificate in Performing Engineering Operations,ASF
CHESTERFIELD COLLEGE,50090513,Diploma in Women's Hairdressing,ASF
CHESTERFIELD COLLEGE,60125147,Diploma in Plumbing Foundation,ASF
CHESTERFIELD COLLEGE,60146187,Diploma in Sports Massage Therapy,ASF
CHESTERFIELD COLLEGE,60328186,Certificate in Understanding Safeguarding and Prevent,ASF
CHESTERFIELD COLLEGE,6033986X,Certificate in Counselling,ASF
CHESTERFIELD COLLEGE,60ASF7514,Certificate in Fabrication and Welding Techniques and Skills,ASF
CHESTERFIELD COLLEGE,60ASF75ASF,Certificate in Personal and Social Skills,ASF
CHESTERFIELD COLLEGE,60324788,Award in Support Work in Schools and Colleges,ASF
CHESTERFIELD COLLEGE,60ASF5177,Award in Personal Resilience and Perseverance,ASF
DERBYSHIRE COUNTY COUNCIL,Z0060123,"Non regulated Tailored Learning, Languages",ASF
DERBYSHIRE COUNTY COUNCIL,Z0060050,"Non regulated Tailored Learning, Managing mental health and well-being",ASF
DERBYSHIRE COUNTY COUNCIL,Z0060124,"Non regulated Tailored Learning, Creative Arts",ASF
DONCASTER COUNCIL,Z0060048,"Non regulated Tailored Learning, First step engagement in learning",ASF
DONCASTER COUNCIL,Z0060ASF9,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, Essential Digital Skills",ASF
DONCASTER COUNCIL,Z0060ASF6,"Non regulated Tailored Learning, Essential Skills, Entry Level, Maths (Entry 3)",ASF
DONCASTER COUNCIL,Z0060ASF0,"Non regulated Tailored Learning, Essential Skills, Entry Level, English (Entry 3)",ASF
DONCASTER COUNCIL,60346486,Functional Skills Qualification in Mathematics,ASF
DONCASTER COUNCIL,60363617,Award in Mental Health Awareness,ASF
DONCASTER COUNCIL,Z0060047,"Non regulated Tailored Learning, Supported Learning and Independent Living",ASF
DONCASTER COUNCIL,Z0060091,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, ESOL",ASF
DONCASTER COUNCIL,60042904,Award in Volunteering,ASF
DONCASTER COUNCIL,Z0060126,"Non regulated Tailored Learning, Physical activity",ASF
DONCASTER COUNCIL,Z0003482,"Non regulated Adult skills formula funded provision, Entry Level, Foundations for Learning and Life, 69 to 92 hrs, PW A",ASF
DONCASTER COUNCIL,Z00601ASF,"Non regulated Tailored Learning, Essential Skills, Entry Level, Essential Digital Skills",ASF
DONCASTER COUNCIL,Z0060ASF7,"Non regulated Tailored Learning, Life skills: parenting skills",ASF
DONCASTER COUNCIL,Z0060097,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, English",ASF
DONCASTER COUNCIL,60141918,Award in ESOL Skills for Life (Speaking and Listening) (Entry 2),ASF
DONCASTER COUNCIL,Z0060093,"Non regulated Tailored Learning, Essential Skills, Entry Level, ESOL (Entry 2)",ASF
DONCASTER COUNCIL,Z0060095,"Non regulated Tailored Learning, Essential Skills, Level 1, ESOL",ASF
DONCASTER COUNCIL,60141943,Award in ESOL Skills for Life (Speaking and Listening) (Entry 3),ASF
DONCASTER COUNCIL,60ASF9869,Essential Digital Skills,ASF
DONCASTER COUNCIL,60346462,Functional Skills Qualification in English,ASF
DONCASTER COUNCIL,60141979,Award in ESOL Skills for Life (Speaking and Listening),ASF
DONCASTER COUNCIL,60ASF9857,Essential Digital Skills (Entry 3),ASF
DONCASTER COUNCIL,Z00ASF541,Accredited Learning (English),ASF
DONCASTER COUNCIL,Z0060ASF3,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, Maths",ASF
DONCASTER COUNCIL,Z0004418,"Non regulated Adult skills formula funded provision, Level 1, Maths, 69 to 92 hrs",ASF
DONCASTER COUNCIL,60346474,Functional Skills Qualification in English,ASF
DONCASTER COUNCIL,60346498,Functional Skills Qualification in Mathematics,ASF
DONCASTER COUNCIL,Z0004ASF7,"Non regulated Adult skills formula funded provision, Entry Level, English, 45 to 68 hrs",ASF
DONCASTER COUNCIL,Z0060049,"Non regulated Tailored Learning, Employability and transferable skills",ASF
DONCASTER COUNCIL,60141888,Award in ESOL Skills for Life (Speaking and Listening) (Entry 1),ASF
DONCASTER COUNCIL,60349153,Functional Skills Qualification in English (Entry 3),ASF
DONCASTER COUNCIL,Z0060094,"Non regulated Tailored Learning, Essential Skills, Entry Level, ESOL (Entry 3)",ASF
DONCASTER COUNCIL,60141876,Award in ESOL Skills for Life (Writing) (Entry 1),ASF
DONCASTER COUNCIL,60ASF2693,Functional Skills Qualification in Mathematics,ASF
DONCASTER COUNCIL,Z0004ASF1,"Non regulated Adult skills formula funded provision, Level 2, English, 45 to 68 hrs",ASF
DONCASTER COUNCIL,Z0004369,"Non regulated Adult skills formula funded provision, Level 1, English, 45 to 68 hrs",ASF
DONCASTER COUNCIL,60349177,Functional Skills Qualification in Mathematics (Entry 3),ASF
DONCASTER COUNCIL,Z0060120,"Non regulated Tailored Learning, Life skills: managing life transitions",ASF
DONCASTER COUNCIL,Z0060050,"Non regulated Tailored Learning, Managing mental health and well-being",ASF
SHEFFIELD CITY COUNCIL,Z0060ASF9,"Non regulated Tailored Learning, Life skills: volunteering, active citizenship",ASF
SHEFFIELD CITY COUNCIL,Z0060ASF1,"Non regulated Tailored Learning, Essential Skills, Level 1, English",ASF
SHEFFIELD CITY COUNCIL,Z0060049,"Non regulated Tailored Learning, Employability and transferable skills",ASF
SHEFFIELD CITY COUNCIL,Z0060076,"Non regulated Tailored Learning, Entry Level, Creative Industries, Media",ASF
SHEFFIELD CITY COUNCIL,60364683,Award in Digital and IT Skills,ASF
SHEFFIELD CITY COUNCIL,Z0060150,"Non-regulated Tailored Learning, Employer Facing Provision, Horticulture and Forestry",ASF
SHEFFIELD CITY COUNCIL,Z0060ASF3,"Non regulated Tailored Learning, Life skills: first aid",ASF
SHEFFIELD CITY COUNCIL,Z0060054,"Non-regulated Tailored Learning, Level 2, Health and Social Care",ASF
SHEFFIELD CITY COUNCIL,60331914,Certificate in an Introduction to Construction (RQF),ASF
SHEFFIELD CITY COUNCIL,60324429,Award in Health and Safety within a Construction Environment (RQF),ASF
SHEFFIELD CITY COUNCIL,60125068,Award in Understanding Carbon Awareness and Energy Management,ASF
SHEFFIELD CITY COUNCIL,R5042613,Environmental awareness in construction,ASF
SHEFFIELD CITY COUNCIL,Z0060ASF3,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, Maths",ASF
SHEFFIELD CITY COUNCIL,Z0060ASF9,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, Essential Digital Skills",ASF
SHEFFIELD CITY COUNCIL,Z0060091,"Non regulated Tailored Learning, Essential Skills, Pre-Entry Level, ESOL",ASF
SHEFFIELD CITY COUNCIL,Z0060050,"Non regulated Tailored Learning, Managing mental health and well-being",ASF
SHEFFIELD CITY COUNCIL,60342675,Functional Skills Qualification in Mathematics,ASF
SHEFFIELD CITY COUNCIL,60141918,Award in ESOL Skills for Life (Speaking and Listening) (Entry 2),ASF
SHEFFIELD CITY COUNCIL,Z0060093,"Non regulated Tailored Learning, Essential Skills, Entry Level, ESOL (Entry 2)",ASF
SHEFFIELD CITY COUNCIL,Z0060058,"Non-regulated Tailored Learning, Entry Level, Childcare, Teaching",ASF
SHEFFIELD CITY COUNCIL,60ASF9857,Essential Digital Skills (Entry 3),ASF
SHEFFIELD CITY COUNCIL,Z0060ASF0,"Non regulated Tailored Learning, Essential Skills, Entry Level, English (Entry 3)",ASF
SHEFFIELD CITY COUNCIL,Z0060048,"Non regulated Tailored Learning, First step engagement in learning",ASF
SHEFFIELD CITY COUNCIL,6033ASF6X,Award in Mental Wellbeing (Entry 3),ASF
SHEFFIELD CITY COUNCIL,60342894,Functional Skills Qualification in English,ASF
SHEFFIELD CITY COUNCIL,Z0060ASF2,"Non regulated Tailored Learning, Life skills: healthy eating/cooking",ASF
